"state","throughput"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#FR10","541176.3121982242e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#ES30","411926.4475087091e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#DE21","312779.95782021113e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#ITC4","305787.3135341873e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#DEA1","276995.00982830086e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#DE71","270065.0649920051e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#FI18","259655.8457384526e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#DE11","257790.72034942626e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#UKI1","249995.63498308064e0"
"http://data.europa.eu/89h/432cf8a7-fd5e-4816-a70c-633a7380c77c#ITC1","243721.8546220637e0"
